"NAME","ITEM","zip"
"SAMPLE01","DhbZ007040",9999
"SAMPLE02","DhbZ008040",9999
"SAMPLE03","DhbZ009040",9999
"SAMPLE04","DhbZ076040",9999
"SAMPLE05","DhbZ274040",9999
"SAMPLE06","DhbZ270040",9999
"SAMPLE07","DhbZ171040",9999
"SAMPLE08","DhbZ274040",9999
"SAMPLE09","DhbZ182040",9999
"SAMPLE10","DhbZ182040",9999
"SAMPLE11","DhbZ007040",9999
"SAMPLE12","DhbZ008040",9999
"SAMPLE13","DhbZ009040",9999
"SAMPLE14","DhbZ076040",9999
"SAMPLE15","DhbZ274040",9999
"SAMPLE16","DhbZ270040",9999
"SAMPLE17","DhbZ171040",9999
"SAMPLE18","DhbZ274040",9999
"SAMPLE19","DhbZ182040",9999
"SAMPLE20","DhbZ182040",9999
