"NAME","ITEM","zip"
"SAMPLE_01","ABC0001",1111
"SAMPLE_02","ABC0002",1112
"SAMPLE_03","ABC0003",1113
"SAMPLE_04","ABC0004",1114
"SAMPLE_05","ABC0005",1115
"SAMPLE_06","ABC0006",1116
"SAMPLE_07","ABC0007",1117
"SAMPLE_08","ABC0008",1118
"SAMPLE_09","ABC0009",1119
"SAMPLE_10","ABC0010",1120
"SAMPLE_11","ABC0011",1121
"SAMPLE_12","ABC0012",1122
"SAMPLE_13","ABC0013",1123
"SAMPLE_14","ABC0014",1124
"SAMPLE_15","ABC0015",1125
"SAMPLE_16","ABC0016",1126
"SAMPLE_17","ABC0017",1127
"SAMPLE_18","ABC0018",1128
"SAMPLE_19","ABC0019",1129
"SAMPLE_20","ABC0020",1130
"SAMPLE_21","ABC0021",1131
"SAMPLE_22","ABC0022",1132
"SAMPLE_23","ABC0023",1133
"SAMPLE_24","ABC0024",1134
"SAMPLE_25","ABC0025",1135
"SAMPLE_26","ABC0026",1136
"SAMPLE_27","ABC0027",1137
"SAMPLE_28","ABC0028",1138
"SAMPLE_29","ABC0029",1139
"SAMPLE_30","ABC0030",1140
"SAMPLE_31","ABC0031",1141
"SAMPLE_32","ABC0032",1142
"SAMPLE_33","ABC0033",1143
"SAMPLE_34","ABC0034",1144
"SAMPLE_35","ABC0035",1145
"SAMPLE_36","ABC0036",1146
"SAMPLE_37","ABC0037",1147
"SAMPLE_38","ABC0038",1148
"SAMPLE_39","ABC0039",1149
"SAMPLE_40","ABC0040",1150
"SAMPLE_41","ABC0041",1151
"SAMPLE_42","ABC0042",1152
"SAMPLE_43","ABC0043",1153
"SAMPLE_44","ABC0044",1154
"SAMPLE_45","ABC0045",1155
"SAMPLE_46","ABC0046",1156
"SAMPLE_47","ABC0047",1157
"SAMPLE_48","ABC0048",1158
"SAMPLE_49","ABC0049",1159
"SAMPLE_50","ABC0050",1160
"SAMPLE_51","ABC0051",1161
"SAMPLE_52","ABC0052",1162
"SAMPLE_53","ABC0053",1163
"SAMPLE_54","ABC0054",1164
"SAMPLE_55","ABC0055",1165
"SAMPLE_56","ABC0056",1166
"SAMPLE_57","ABC0057",1167
"SAMPLE_58","ABC0058",1168
"SAMPLE_59","ABC0059",1169
"SAMPLE_60","ABC0060",1170
"SAMPLE_61","ABC0061",1171
"SAMPLE_62","ABC0062",1172
"SAMPLE_63","ABC0063",1173
"SAMPLE_64","ABC0064",1174
"SAMPLE_65","ABC0065",1175
"SAMPLE_66","ABC0066",1176
"SAMPLE_67","ABC0067",1177
"SAMPLE_68","ABC0068",1178
"SAMPLE_69","ABC0069",1179
"SAMPLE_70","ABC0070",1180
"SAMPLE_71","ABC0071",1181
"SAMPLE_72","ABC0072",1182
"SAMPLE_73","ABC0073",1183
"SAMPLE_74","ABC0074",1184
"SAMPLE_75","ABC0075",1185
"SAMPLE_76","ABC0076",1186
"SAMPLE_77","ABC0077",1187
"SAMPLE_78","ABC0078",1188
"SAMPLE_79","ABC0079",1189
"SAMPLE_80","ABC0080",1190
"SAMPLE_81","ABC0081",1191
"SAMPLE_82","ABC0082",1192
"SAMPLE_83","ABC0083",1193
