"NAME","ITEM","zip"
"TEST1","DhbZ007040",9999
"TEST2","DhbZ008040",9999
"TEST3","DhbZ009040",9999
"TEST4","DhbZ076040",9999
"TEST5","DhbZ274040",9999
"TEST6","DhbZ270040",9999
"TEST7","DhbZ171040",9999
"TEST8","DhbZ274040",9999
"TEST9","DhbZ182040",9999
"TEST10","DhbZ182040",9999
"TEST11","DhbZ007040",9999
"TEST12","DhbZ008040",9999
"TEST13","DhbZ009040",9999
"TEST14","DhbZ076040",9999
"TEST15","DhbZ274040",9999
"TEST16","DhbZ270040",9999
"TEST17","DhbZ171040",9999
"TEST18","DhbZ274040",9999
"TEST19","DhbZ182040",9999
"TEST20","DhbZ182040",9999
